linie,statie,cod_statie,conexiune_linii,directie
86_17,GARA DE NORD,2863,"65, 86,105,282,",up
86_18,NICOLAE TITULESCU,2995,"65, 86,105,",up
86_19,STOICA LUDESCU,3009,"65, 86,105,",up
86_20,PASAJ GRANT,2996,"65, 86,105,",up
86_21,CIMITIRUL SFANTA VINERI,3086,"65, 86,105,",up
86_22,CARAIMAN,3087,"65, 86,105,",up
86_23,GRIRO,3164,"65, 86,105,",up
86_24,KIEV,3165,"65, 86,105,",up
86_25,LAINICI,3166,"65, 86,105,",up
86_26,R.A.R.,3234,"65, 86,105,",up
86_27,CLABUCET,3168,"65, 86,",up
86_28,CARPATI,828,"65, 86,422,",up
86_29,DEPOUL BUCURESTII NOI,829,"65, 86,697,",up
86_30,PAJUREI,830,"65, 86,",up
86_31,PIATA PAJURA,831,"65, 86,",up
86_32,FAUREI,832,"65, 86,",up
86_33,DRIDU,833,"65, 86,",up
86_0,DRIDU,834,"65, 86,",down
86_1,FAUREI,835,"65, 86,",down
86_2,PIATA PAJURA,836,"65, 86,",down
86_3,PAJUREI,837,"65, 86,697,",down
86_4,SOSEAUA CHITILEI,838,"65, 86,697,",down
86_5,CARPATI,839,"65, 86,422,",down
86_6,CLABUCET,3154,"65, 86,105,780,",down
86_7,R.A.R.,3233,"65, 86,105,",down
86_8,LAINICI,3156,"65, 86,105,",down
86_9,KIEV,3157,"65, 86,105,",down
86_10,GRIRO,3158,"65, 86,105,",down
86_11,CARAIMAN,3159,"65, 86,105,",down
86_12,CIMITIRUL SFANTA VINERI,3160,"65, 86,105,",down
86_13,PASAJ GRANT,3161,"65, 86,105,",down
86_14,STOICA LUDESCU,3010,"65, 86,105,",down
86_15,SOSEAUA NICOLAE TITULESCU,2993,"65, 86,105,",down
86_16,GARA DE NORD,2994,"65, 86,105,",down
86_17,POLIZU,3253,"65, 86,",down
